name,diet,period,lived_in,type,length,species
sauropelta,herbivorous,Early Cretaceous,USA,armoured dinosaur,6.5,edwardsorum
saurophaganax,carnivorous,Late Jurassic,USA,large theropod,12.0,maximus
saurornithoides,carnivorous,Late Cretaceous,Mongolia,small theropod,3.0,mongoliensis
scelidosaurus,herbivorous,Early Jurassic,United Kingdom,armoured dinosaur,4.0,harrisonii
scutellosaurus,herbivorous,Early Jurassic,USA,armoured dinosaur,1.2,lawleri
secernosaurus,herbivorous,Late Cretaceous,Argentina,euornithopod,3.0,koerneri
segisaurus,carnivorous,Mid Jurassic,USA,small theropod,1.5,halli
segnosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,4.0,galbinensis
shanag,carnivorous,Early Cretaceous,Mongolia,small theropod,0.45,ashile
shantungosaurus,herbivorous,Late Cretaceous,China,euornithopod,15.0,giganteus
shunosaurus,herbivorous,Mid Jurassic,China,sauropod,10.0,lii
shuvuuia,omnivorous,Late Cretaceous,Mongolia,small theropod,0.6,deserti
silvisaurus,herbivorous,Early Cretaceous,USA,armoured dinosaur,4.0,condrayi
sinocalliopteryx,carnivorous,Early Cretaceous,China,small theropod,2.37,gigas
sinornithosaurus,carnivorous,Early Cretaceous,China,small theropod,2.0,millenii
sinosauropteryx,carnivorous,Early Cretaceous,China,small theropod,1.0,prima
sinovenator,carnivorous,Early Cretaceous,China,small theropod,1.0,changii
sinraptor,carnivorous,Mid Jurassic,China,large theropod,7.6,hepingensis
sonidosaurus,herbivorous,Late Cretaceous,China,sauropod,9.0,saihangaobiensis
spinosaurus,carnivorous,Late Cretaceous,Morocco,large theropod,18.0,aegyptiacus
staurikosaurus,carnivorous,Late Triassic,Brazil,large theropod,2.0,pricei
stegoceras,herbivorous,Late Cretaceous,USA,euornithopod,2.4,validum
stegosaurus,herbivorous,Late Jurassic,USA,armoured dinosaur,9.0,armatus
stenopelix,herbivorous,Early Cretaceous,Germany,ceratopsian,1.5,valdensis
struthiomimus,omnivorous,Late Cretaceous,Canada,small theropod,4.0,altus
struthiosaurus,herbivorous,Late Cretaceous,Spain,armoured dinosaur,2.5,austriacus
styracosaurus,herbivorous,Late Cretaceous,USA,ceratopsian,5.5,albertensis
suchomimus,carnivorous,Early Cretaceous,Niger,large theropod,11.0,tenerensis
supersaurus,herbivorous,Early Cretaceous,USA,sauropod,35.0,vivianae
